canonical_specimen,record_type,specimen_kind,access_class,evidence_source_ids,specimen_name,primary_identifier,alternate_identifiers,collection,source_publication,item_reference,printed_name,published_taxon,resolved_taxon,taxon_concept,taxon_conflict,match,sex,note
HIRN-PAPIO-P3,specimen,historical_biological_specimen,public,PUB_MACLEOD_2000,,P3,,Hirnforschung / Stephan-Zilles shared collection,MacLeod__2000,MacLeod__2000_APPENDIXI,Papio cynocephalus (P3),Papio cynocephalus,Papio cynocephalus,,FALSE,matched,F,Printed specimen row in MacLeod  2000 APPENDIXI; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-PAPIO-P4,specimen,historical_biological_specimen,public,PUB_MACLEOD_2000,,P4,,Hirnforschung / Stephan-Zilles shared collection,MacLeod__2000,MacLeod__2000_APPENDIXI,Papio cynocephalus (P4),Papio cynocephalus,Papio cynocephalus,,FALSE,matched,F,Printed specimen row in MacLeod  2000 APPENDIXI; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-ATELES-2412,specimen,historical_biological_specimen,public,PUB_MACLEOD_2000,,2412,,Hirnforschung / Stephan-Zilles shared collection,MacLeod__2000,MacLeod__2000_APPENDIXI,Ateles paniscus (2412),Ateles paniscus,Ateles paniscus,,FALSE,matched,,Printed specimen row in MacLeod  2000 APPENDIXI; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-ATELES-1541,specimen,historical_biological_specimen,public,PUB_MACLEOD_2000,,1541,,Hirnforschung / Stephan-Zilles shared collection,MacLeod__2000,MacLeod__2000_APPENDIXI,Ateles paniscus (1541),Ateles paniscus,Ateles paniscus,,FALSE,matched,M,Printed specimen row in MacLeod  2000 APPENDIXI; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-ATELES-1538,specimen,historical_biological_specimen,public,PUB_MACLEOD_2000,,1538,,Hirnforschung / Stephan-Zilles shared collection,MacLeod__2000,MacLeod__2000_APPENDIXI,Ateles paniscus (1538),Ateles paniscus,Ateles paniscus,,FALSE,matched,M,Printed specimen row in MacLeod  2000 APPENDIXI; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-ALOUSP-1961-8,specimen,historical_biological_specimen,public,PUB_MACLEOD_2000,,1961/8,,Hirnforschung / Stephan-Zilles shared collection,MacLeod__2000,MacLeod__2000_APPENDIXI,Alouatta sp. (1961/8),Alouatta sp.,,,FALSE,matched,M,Printed specimen row in MacLeod  2000 APPENDIXI; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-ALOUSEN-1961-9,specimen,historical_biological_specimen,public,PUB_MACLEOD_2000,,1961/9,,Hirnforschung / Stephan-Zilles shared collection,MacLeod__2000,MacLeod__2000_APPENDIXI,Alouatta seniculus (1961/9),Alouatta seniculus,Alouatta seniculus,,FALSE,matched,F,Printed specimen row in MacLeod  2000 APPENDIXI; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-CEBUSP-CEBUS-I,specimen,historical_biological_specimen,public,PUB_MACLEOD_2000,,CEBUS I,,Hirnforschung / Stephan-Zilles shared collection,MacLeod__2000,MacLeod__2000_APPENDIXI,Cebus sp. (CEBUS I),Cebus sp.,,,FALSE,matched,M,Printed specimen row in MacLeod  2000 APPENDIXI; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-SAIMIRI-1064,specimen,historical_biological_specimen,public,PUB_MACLEOD_2000,,1064,,Hirnforschung / Stephan-Zilles shared collection,MacLeod__2000,MacLeod__2000_APPENDIXI,Saimiri sciureus (1064),Saimiri sciureus,Saimiri sciureus,,FALSE,matched,F,Printed specimen row in MacLeod  2000 APPENDIXI; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-SAIMIRI-1968-4,specimen,historical_biological_specimen,public,PUB_MACLEOD_2000,,1968/4,,Hirnforschung / Stephan-Zilles shared collection,MacLeod__2000,MacLeod__2000_APPENDIXI,Saimiri sciureus (1968/4),Saimiri sciureus,Saimiri sciureus,,FALSE,matched,M,Printed specimen row in MacLeod  2000 APPENDIXI; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-AOTUSP-1536,specimen,historical_biological_specimen,public,PUB_MACLEOD_2000,,1536,,Hirnforschung / Stephan-Zilles shared collection,MacLeod__2000,MacLeod__2000_APPENDIXI,Aotus sp. (1536),Aotus sp.,,,FALSE,matched,F,Printed specimen row in MacLeod  2000 APPENDIXI; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-AOTUSP-K197,specimen,historical_biological_specimen,public,PUB_MACLEOD_2000,,K197,,Hirnforschung / Stephan-Zilles shared collection,MacLeod__2000,MacLeod__2000_APPENDIXI,Aotus sp. (K197),Aotus sp.,,,FALSE,matched,F,Printed specimen row in MacLeod  2000 APPENDIXI; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-HOMO-H9-88,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,H9-88a,H9-88,UCSD,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table1,Homo sapiens,Homo sapiens,Homo sapiens,,FALSE,matched,M,Printed specimen row in Bauernfeind etal 2013 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
YAKOVLEV-HOMO-MU-88-65,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,MU-88-65a,MU-88-65,Yakovlev-Haleem,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table1,Homo sapiens,Homo sapiens,Homo sapiens,,FALSE,matched,M,Printed specimen row in Bauernfeind etal 2013 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
BARGER-HOMO-SN207-84,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,SN207-84a,SN207-84,UCSD,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table1,Homo sapiens,Homo sapiens,Homo sapiens,,FALSE,matched,M,Printed specimen row in Bauernfeind etal 2013 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
YAKOVLEV-HOMO-W2-2-70,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,W2-2-70a,W2-2-70,Yakovlev-Haleem,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table1,Homo sapiens,Homo sapiens,Homo sapiens,,FALSE,matched,M,Printed specimen row in Bauernfeind etal 2013 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
YAKOVLEV-HOMO-STD-IIA-54,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,STD-IIA-54a,STD-IIA-54,Yakovlev-Haleem,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table1,Homo sapiens,Homo sapiens,Homo sapiens,,FALSE,matched,F,Printed specimen row in Bauernfeind etal 2013 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
BAUERNFEIND-PANPAN-NAMBO,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,Nambob,Nambob,Nambo,GAAP,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table1,Pan paniscus,Pan paniscus,Pan paniscus,,FALSE,matched,M,Printed specimen row in Bauernfeind etal 2013 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
GWU-PANPAN-MCZ-2007-52,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,MCZ-2007-52a,MCZ-2007-52,GAAP,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table1,Pan paniscus,Pan paniscus,Pan paniscus,,FALSE,matched,F,Printed specimen row in Bauernfeind etal 2013 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
ZILLES-PANPAN-ZAHLIA,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,Zahliaa,Zahliaa,Zahlia,UCSD,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table1,Pan paniscus,Pan paniscus,Pan paniscus,,FALSE,matched,F,Printed specimen row in Bauernfeind etal 2013 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
BAUERNFEIND-PANTRO-CA0171,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,CA0171b,CA0171,GAAP,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table1,Pan troglodytes,Pan troglodytes,Pan troglodytes,,FALSE,matched,M,Printed specimen row in Bauernfeind etal 2013 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
BAUERNFEIND-PANTRO-YN01-92,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,YN01-92a,,GAAP,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table1,Pan troglodytes,Pan troglodytes,Pan troglodytes,,FALSE,matched,M,Printed specimen row in Bauernfeind etal 2013 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
BAUERNFEIND-PANTRO-YN00-170,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,YN00-170a,YN00-170,GAAP,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table1,Pan troglodytes,Pan troglodytes,Pan troglodytes,,FALSE,matched,F,Printed specimen row in Bauernfeind etal 2013 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
BAUERNFEIND-GORIGOR-OON1072,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,OON1072b,,GAAP,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table1,Gorilla gorilla,Gorilla gorilla,Gorilla gorilla,,FALSE,matched,M,Printed specimen row in Bauernfeind etal 2013 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
BAUERNFEIND-GORIGOR-862094,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,862094b,862094,GAAP,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table1,Gorilla gorilla,Gorilla gorilla,Gorilla gorilla,,FALSE,matched,F,Printed specimen row in Bauernfeind etal 2013 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
BAUERNFEIND-GORIGOR-439,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,439b,,GAAP,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table1,Gorilla gorilla,Gorilla gorilla,Gorilla gorilla,,FALSE,Bauernfeind-only,F,"Printed specimen row in Bauernfeind etal 2013 Table1; identifier is the paper's own specimen number, table-local rather than a collection accession, so it cannot be joined to another publication on identifier alone. Registered from the published table; no private evidence used."
ZILLES-GORILLA-YN82-140,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,YN82-140a,YN82-140,UCSD,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table1,Gorilla gorilla,Gorilla gorilla,Gorilla gorilla,,FALSE,matched,F,Printed specimen row in Bauernfeind etal 2013 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
BAUERNFEIND-PONGABE-M00305,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,M00305b,M00305,GAAP,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table1,Pongo abelii,Pongo abelii,Pongo abelii,Pongo abelii,FALSE,matched,F,Printed specimen row in Bauernfeind etal 2013 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
BAUERNFEIND-PONGABE-THELMA,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,Thelmab,Thelmab,,GAAP,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table1,Pongo abelii,Pongo abelii,Pongo abelii,Pongo abelii,FALSE,matched,F,Printed specimen row in Bauernfeind etal 2013 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
BAUERNFEIND-PONGPYG-SABTUB,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,"Sabtub,c",,GAAP,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table1,Pongo pygmaeus,Pongo pygmaeus,Pongo pygmaeus,,FALSE,matched,F,Printed specimen row in Bauernfeind etal 2013 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
PONGO-BRIGGS,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,Briggsa,Briggsa,Briggs,UCSD,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table1,Pongo pygmaeus,Pongo pygmaeus,Pongo pygmaeus,,FALSE,matched,M,Printed specimen row in Bauernfeind etal 2013 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
BAUERNFEIND-HYLOMUE-970431,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,970431a,,GAAP,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table1,Hylobates muelleri,Hylobates muelleri,Hylobates muelleri,,FALSE,matched,M,Printed specimen row in Bauernfeind etal 2013 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
ZILLES-HYLOBATES-YN81-146,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,YN81-146b,,Stephan,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table1,Hylobates lar,Hylobates lar,Hylobates lar,,FALSE,matched,F,Printed specimen row in Bauernfeind etal 2013 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
GWU-SYMPHALANGUS-880804,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,880804a,,GAAP,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table1,Symphalangus syndactylus,Symphalangus syndactylus,Symphalangus syndactylus,,FALSE,matched,M,Printed specimen row in Bauernfeind etal 2013 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
BAUERNFEIND-CERCOPITHECUS-201202,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,201202a,,GAAP,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table1,Cercopithecus kandti,Cercopithecus kandti,Cercopithecus kandti,,FALSE,matched,M,Printed specimen row in Bauernfeind etal 2013 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
BAUERNFEIND-CERCOCEBUS-980820,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,980820a,,GAAP,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table1,Cercocebus agilis,Cercocebus agilis,Cercocebus agilis,,FALSE,matched,F,Printed specimen row in Bauernfeind etal 2013 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
BAUERNFEIND-LOPHOCEBUS-3407,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,3407b,,Stephan,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table1,Lophocebus albigena,Lophocebus albigena,Lophocebus albigena,,FALSE,matched,M,Printed specimen row in Bauernfeind etal 2013 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
BAUERNFEIND-MACACA-M1005,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,M1005a,,GAAP,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table1,Macaca maura,Macaca maura,Macaca maura,,FALSE,matched,F,Printed specimen row in Bauernfeind etal 2013 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
BAUERNFEIND-COLOBUS-M00652,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,M00652a,,GAAP,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table1,Colobus angolensis,Colobus angolensis,Colobus angolensis,,FALSE,matched,M,Printed specimen row in Bauernfeind etal 2013 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
BAUERNFEIND-PILIOCOLOBUS-3477,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,3477b,,Stephan,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table1,Piliocolobus badius,Piliocolobus badius,Piliocolobus badius,,FALSE,matched,F,Printed specimen row in Bauernfeind etal 2013 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
BAUERNFEIND-TRACHYPITHECUS-51106,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,51106a,,GAAP,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table1,Trachypithecus francoisi,Trachypithecus francoisi,Trachypithecus francoisi,,FALSE,matched,M,Printed specimen row in Bauernfeind etal 2013 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
BAUERNFEIND-ALOUATTA-890708,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,890708a,,GAAP,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table1,Alouatta caraya,Alouatta caraya,Alouatta caraya,,FALSE,matched,M,Printed specimen row in Bauernfeind etal 2013 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
BAUERNFEIND-ATELES-3371,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,3371b,,Stephan,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table1,Ateles geoffroyi,Ateles geoffroyi,Ateles geoffroyi,,FALSE,matched,M,Printed specimen row in Bauernfeind etal 2013 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
BAUERNFEIND-CALLITHRIX-3289,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,3289b,,Stephan,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table1,Callithrix pygmaea,Callithrix pygmaea,Callithrix pygmaea,,FALSE,matched,M,Printed specimen row in Bauernfeind etal 2013 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
BAUERNFEIND-LEONTOPITHECUS-950728,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,950728a,,GAAP,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table1,Leontopithecus rosalia,Leontopithecus rosalia,Leontopithecus rosalia,,FALSE,matched,F,Printed specimen row in Bauernfeind etal 2013 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
BAUERNFEIND-SAGUGEO-900722,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,900722a,,GAAP,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table1,Saguinus geoffroyi,Saguinus geoffroyi,Saguinus geoffroyi,,FALSE,matched,M,Printed specimen row in Bauernfeind etal 2013 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
BAUERNFEIND-SAGUOED-3311,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,3311b,,Stephan,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table1,Saguinus oedipus,Saguinus oedipus,Saguinus oedipus,,FALSE,matched,M,Printed specimen row in Bauernfeind etal 2013 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
BAUERNFEIND-CEBUS-3317,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,3317b,,Stephan,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table1,Cebus albifrons,Cebus albifrons,Cebus albifrons,,FALSE,matched,M,Printed specimen row in Bauernfeind etal 2013 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
BAUERNFEIND-PITHECIA-M30709,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,M30709a,,GAAP,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table1,Pithecia pithecia,Pithecia pithecia,Pithecia pithecia,,FALSE,matched,F,Printed specimen row in Bauernfeind etal 2013 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
BAUERNFEIND-AVAHI-3244,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,3244b,,Stephan,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table1,Avahi laniger,Avahi laniger,Avahi laniger,,FALSE,matched,M,Printed specimen row in Bauernfeind etal 2013 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
BAUERNFEIND-INDRI-3249,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,3249b,,Stephan,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table1,Indri indri,Indri indri,Indri indri,,FALSE,matched,M,Printed specimen row in Bauernfeind etal 2013 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
BAUERNFEIND-VARECIA-3227,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,3227b,,Stephan,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table1,Varecia variegata,Varecia variegata,Varecia variegata,,FALSE,matched,M,Printed specimen row in Bauernfeind etal 2013 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
BAUERNFEIND-PERODICTICUS-3259,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,3259b,,Stephan,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table1,Perodicticus potto,Perodicticus potto,Perodicticus potto,,FALSE,matched,M,Printed specimen row in Bauernfeind etal 2013 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
BAUERNFEIND-GALAGOIDES-3275,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,3275b,,Stephan,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table1,Galagoides demidoff,Galagoides demidoff,Galagoides demidoff,,FALSE,matched,M,Printed specimen row in Bauernfeind etal 2013 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
BAUERNFEIND-LORIS-3253,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,3253b,,Stephan,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table1,Loris tardigradus,Loris tardigradus,Loris tardigradus,,FALSE,matched,M,Printed specimen row in Bauernfeind etal 2013 Table1; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-HOMO-H9-88,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,H9-88,H9-88a,UCSD,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table2,Homo sapiens,Homo sapiens,Homo sapiens,,FALSE,matched,,Printed specimen row in Bauernfeind etal 2013 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
YAKOVLEV-HOMO-MU-88-65,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,MU-88-65,MU-88-65a,Yakovlev-Haleem,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table2,Homo sapiens,Homo sapiens,Homo sapiens,,FALSE,matched,,Printed specimen row in Bauernfeind etal 2013 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
BARGER-HOMO-SN207-84,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,SN207-84,SN207-84a,UCSD,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table2,Homo sapiens,Homo sapiens,Homo sapiens,,FALSE,matched,,Printed specimen row in Bauernfeind etal 2013 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
YAKOVLEV-HOMO-W2-2-70,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,W2-2-70,W2-2-70a,Yakovlev-Haleem,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table2,Homo sapiens,Homo sapiens,Homo sapiens,,FALSE,matched,,Printed specimen row in Bauernfeind etal 2013 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
YAKOVLEV-HOMO-STD-IIA-54,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,STD-IIA-54,STD-IIA-54a,Yakovlev-Haleem,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table2,Homo sapiens,Homo sapiens,Homo sapiens,,FALSE,matched,,Printed specimen row in Bauernfeind etal 2013 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
BAUERNFEIND-PANPAN-NAMBO,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,Nambo,Nambo,Nambob,GAAP,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table2,Pan paniscus,Pan paniscus,Pan paniscus,,FALSE,matched,,Printed specimen row in Bauernfeind etal 2013 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
GWU-PANPAN-MCZ-2007-52,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,MCZ-2007-52,MCZ-2007-52a,GAAP,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table2,Pan paniscus,Pan paniscus,Pan paniscus,,FALSE,matched,,Printed specimen row in Bauernfeind etal 2013 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
ZILLES-PANPAN-ZAHLIA,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,Zahlia,Zahlia,Zahliaa,UCSD,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table2,Pan paniscus,Pan paniscus,Pan paniscus,,FALSE,matched,,Printed specimen row in Bauernfeind etal 2013 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
BAUERNFEIND-PANTRO-CA0171,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,CA0171,CA0171b,GAAP,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table2,Pan troglodytes,Pan troglodytes,Pan troglodytes,,FALSE,matched,,Printed specimen row in Bauernfeind etal 2013 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
BAUERNFEIND-PANTRO-YN00-170,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,YN00-170,YN00-170a,GAAP,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table2,Pan troglodytes,Pan troglodytes,Pan troglodytes,,FALSE,matched,,Printed specimen row in Bauernfeind etal 2013 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
BAUERNFEIND-GORIGOR-862094,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,862094,862094b,GAAP,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table2,Gorilla gorilla,Gorilla gorilla,Gorilla gorilla,,FALSE,matched,,Printed specimen row in Bauernfeind etal 2013 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
ZILLES-GORILLA-YN82-140,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,YN82-140,YN82-140a,UCSD,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table2,Gorilla gorilla,Gorilla gorilla,Gorilla gorilla,,FALSE,matched,,Printed specimen row in Bauernfeind etal 2013 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
BAUERNFEIND-PONGABE-M00305,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,,M00305,M00305b,GAAP,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table2,Pongo abelii,Pongo abelii,Pongo abelii,Pongo abelii,FALSE,matched,,Printed specimen row in Bauernfeind etal 2013 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
BAUERNFEIND-PONGPYG-SABTU,specimen,historical_biological_specimen,public,PUB_BAUERNFEIND_2013,Sabtu,Sabtu,,,Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table2,Pongo pygmaeus,Pongo pygmaeus,Pongo pygmaeus,,FALSE,matched,,Printed specimen row in Bauernfeind etal 2013 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
